Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time,event_id,Time_seconds
2023-02-11,"Perth, Western Australia, Australia",win,Jamie Mullarkey,Francisco Prado,0,0,59,28,3,0,0,1,Lightweight,U-DEC,,3,5:00,01dd4cdc2446f665,300
2023-02-11,"Perth, Western Australia, Australia",win,Jack Jenkins,Don Shainis,0,0,82,50,4,1,0,2,Featherweight,U-DEC,,3,5:00,01dd4cdc2446f665,300
2023-02-11,"Perth, Western Australia, Australia",win,Loma Lookboonmee,Elise Reed,0,0,17,17,2,0,1,0,Women's Strawweight,SUB,Rear Naked Choke,2,0:44,01dd4cdc2446f665,44
2023-02-11,"Perth, Western Australia, Australia",win,Blake Bilder,Shane Young,0,0,111,80,1,0,0,0,Featherweight,U-DEC,,3,5:00,01dd4cdc2446f665,300
2023-02-11,"Perth, Western Australia, Australia",win,Elves Brener,Zubaira Tukhugov,0,0,69,70,0,0,0,0,Lightweight,S-DEC,,3,5:00,01dd4cdc2446f665,300
2018-01-20,"Boston, Massachusetts, USA",win,Stipe Miocic,Francis Ngannou,0,0,70,21,6,0,0,1,Heavyweight,U-DEC,,5,5:00,02177caefe7c07d4,300
2018-01-20,"Boston, Massachusetts, USA",win,Daniel Cormier,Volkan Oezdemir,0,0,32,38,2,0,1,0,Light Heavyweight,KO/TKO,Punches,2,2:00,02177caefe7c07d4,120
2018-01-20,"Boston, Massachusetts, USA",win,Calvin Kattar,Shane Burgos,1,0,85,89,0,0,0,0,Featherweight,KO/TKO,Punch,3,0:32,02177caefe7c07d4,32
2018-01-20,"Boston, Massachusetts, USA",win,Gian Villante,Francimar Barroso,0,0,74,74,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00,02177caefe7c07d4,300
2018-01-20,"Boston, Massachusetts, USA",win,Rob Font,Thomas Almeida,2,0,41,24,1,0,0,0,Bantamweight,KO/TKO,Kick,2,2:24,02177caefe7c07d4,144
2018-01-20,"Boston, Massachusetts, USA",win,Kyle Bochniak,Brandon Davis,0,0,33,38,3,1,0,0,Featherweight,U-DEC,,3,5:00,02177caefe7c07d4,300
2018-01-20,"Boston, Massachusetts, USA",win,Abdul Razak Alhassan,Sabah Homasi,1,0,13,8,0,1,0,0,Welterweight,KO/TKO,Punch,1,3:47,02177caefe7c07d4,227
2018-01-20,"Boston, Massachusetts, USA",win,Dustin Ortiz,Alexandre Pantoja,0,0,36,19,7,1,0,2,Flyweight,U-DEC,,3,5:00,02177caefe7c07d4,300
2018-01-20,"Boston, Massachusetts, USA",win,Julio Arce,Dan Ige,0,0,72,35,0,1,0,0,Featherweight,U-DEC,,3,5:00,02177caefe7c07d4,300
2018-01-20,"Boston, Massachusetts, USA",win,Enrique Barzola,Matt Bessette,0,0,55,43,5,0,0,0,Featherweight,U-DEC,,3,5:00,02177caefe7c07d4,300
2018-01-20,"Boston, Massachusetts, USA",win,Islam Makhachev,Gleison Tibau,1,0,3,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:57,02177caefe7c07d4,57
2024-07-27,"Manchester, England, United Kingdom",win,Belal Muhammad,Leon Edwards,0,0,68,47,9,2,0,0,Welterweight,U-DEC,,5,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Tom Aspinall,Curtis Blaydes,1,0,14,5,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:00,026b4f7049085842,60
2024-07-27,"Manchester, England, United Kingdom",win,Paddy Pimblett,King Green,0,0,8,15,0,1,2,0,Lightweight,SUB,Triangle Choke,1,3:22,026b4f7049085842,202
2024-07-27,"Manchester, England, United Kingdom",win,Gregory Rodrigues,Christian Leroy Duncan,0,0,45,29,4,0,0,0,Middleweight,U-DEC,,3,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Arnold Allen,Giga Chikadze,0,0,61,38,0,0,0,0,Featherweight,U-DEC,,3,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Nathaniel Wood,Daniel Pineda,1,0,66,32,0,1,1,0,Featherweight,U-DEC,,3,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Bruna Brasil,Molly McCann,0,0,44,32,3,2,0,0,Women's Strawweight,U-DEC,,3,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Jake Hadley,Caolan Loughran,0,0,81,66,0,1,0,0,Bantamweight,U-DEC,,3,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Muhammad Mokaev,Manel Kape,0,0,30,20,3,0,0,0,Flyweight,U-DEC,,3,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Oban Elliott,Preston Parsons,0,0,44,36,1,1,0,0,Welterweight,U-DEC,,3,5:00,026b4f7049085842,300
2024-07-27,"Manchester, England, United Kingdom",win,Modestas Bukauskas,Marcin Prachnio,0,0,38,70,2,0,1,0,Light Heavyweight,SUB,Arm Triangle,3,3:12,026b4f7049085842,192
2024-07-27,"Manchester, England, United Kingdom",win,Sam Patterson,Kiefer Crosbie,0,0,9,9,1,0,1,0,Welterweight,SUB,Arm Triangle,1,2:50,026b4f7049085842,170
2024-07-27,"Manchester, England, United Kingdom",win,Mick Parkin,Lukasz Brzeski,1,0,34,24,0,0,0,0,Heavyweight,KO/TKO,Punches,1,3:23,026b4f7049085842,203
2024-07-27,"Manchester, England, United Kingdom",win,Shauna Bannon,Alice Ardelean,0,0,77,57,0,2,0,0,Women's Strawweight,S-DEC,,3,5:00,026b4f7049085842,300
2002-03-22,"Las Vegas, Nevada, USA",win,Josh Barnett,Randy Couture,0,0,44,18,0,1,1,0,Heavyweight,KO/TKO,Punches,2,4:35,02fc8f50f56eb307,275
2002-03-22,"Las Vegas, Nevada, USA",win,Pedro Rizzo,Andrei Arlovski,1,0,27,38,0,0,0,0,Heavyweight,KO/TKO,Punch,3,1:45,02fc8f50f56eb307,105
2002-03-22,"Las Vegas, Nevada, USA",win,Matt Hughes,Hayato Sakurai,0,1,36,5,9,0,0,0,Welterweight,KO/TKO,Punches,4,3:01,02fc8f50f56eb307,181
2002-03-22,"Las Vegas, Nevada, USA",win,Matt Lindland,Pat Miletich,0,0,20,1,1,0,0,0,Middleweight,KO/TKO,Punches,1,3:09,02fc8f50f56eb307,189
2002-03-22,"Las Vegas, Nevada, USA",win,Evan Tanner,Elvis Sinosic,0,0,7,4,0,0,0,0,Light Heavyweight,KO/TKO,,1,2:06,02fc8f50f56eb307,126
2002-03-22,"Las Vegas, Nevada, USA",win,Frank Mir,Pete Williams,0,0,4,0,0,1,1,0,Heavyweight,SUB,Other - Lock,1,0:46,02fc8f50f56eb307,46
2002-03-22,"Las Vegas, Nevada, USA",win,Matt Serra,Kelly Dullanty,0,0,2,0,1,0,3,0,Lightweight,SUB,Triangle Choke,1,2:58,02fc8f50f56eb307,178
2002-03-22,"Las Vegas, Nevada, USA",win,Sean Sherk,Jutaro Nakao,0,0,21,4,7,0,0,0,Welterweight,U-DEC,,3,5:00,02fc8f50f56eb307,300
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Vitor Belfort,Luke Rockhold,1,0,9,6,0,0,0,0,Middleweight,KO/TKO,Kick,1,2:32,030f08370fd1c2bb,152
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Jacare Souza,Chris Camozzi,0,0,8,4,1,0,1,0,Middleweight,SUB,Arm Triangle,1,3:37,030f08370fd1c2bb,217
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Rafael Dos Anjos,Evan Dunham,0,0,66,68,0,3,0,0,Lightweight,U-DEC,,3,5:00,030f08370fd1c2bb,300
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Rafael Natal,Joao Zeferino,0,0,29,14,1,0,0,2,Middleweight,U-DEC,,3,5:00,030f08370fd1c2bb,300
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Nik Lentz,Hacran Dias,1,0,42,40,4,1,0,1,Featherweight,U-DEC,,3,5:00,030f08370fd1c2bb,300
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Francisco Trinaldo,Mike Rio,0,0,5,5,1,1,1,0,Lightweight,SUB,Arm Triangle,1,3:08,030f08370fd1c2bb,188
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Gleison Tibau,John Cholish,0,0,21,9,2,0,1,0,Lightweight,SUB,Guillotine Choke,2,2:34,030f08370fd1c2bb,154
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Paulo Thiago,Michel Prazeres,0,0,46,30,2,3,0,0,Welterweight,U-DEC,,3,5:00,030f08370fd1c2bb,300
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Iuri Alcantara,Iliarde Santos,0,0,19,3,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:31,030f08370fd1c2bb,151
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Fabio Maldonado,Roger Hollett,0,0,100,29,1,2,0,0,Light Heavyweight,U-DEC,,3,5:00,030f08370fd1c2bb,300
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,John Lineker,Azamat Gashimov,3,0,36,7,0,0,0,0,Flyweight,KO/TKO,Punch,2,1:07,030f08370fd1c2bb,67
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Jussier Formiga,Chris Cariaso,0,0,10,26,4,1,0,1,Flyweight,U-DEC,,3,5:00,030f08370fd1c2bb,300
2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",win,Lucas Martins,Jeremy Larsen,1,1,39,52,0,2,0,0,Lightweight,KO/TKO,Punch,3,0:13,030f08370fd1c2bb,13
2014-10-04,"Halifax, Nova Scotia, Canada",win,Rory MacDonald,Tarec Saffiedine,1,0,47,42,1,0,0,0,Welterweight,KO/TKO,Punch,3,1:28,0313bf497de9c470,88
2014-10-04,"Halifax, Nova Scotia, Canada",win,Raphael Assuncao,Bryan Caraway,0,0,75,39,2,2,0,0,Bantamweight,U-DEC,,3,5:00,0313bf497de9c470,300
2014-10-04,"Halifax, Nova Scotia, Canada",win,Chad Laprise,Yosdenis Cedeno,0,0,35,17,4,0,0,0,Lightweight,U-DEC,,3,5:00,0313bf497de9c470,300
2014-10-04,"Halifax, Nova Scotia, Canada",win,Elias Theodorou,Bruno Santos,0,0,43,16,3,4,0,0,Middleweight,U-DEC,,3,5:00,0313bf497de9c470,300
2014-10-04,"Halifax, Nova Scotia, Canada",win,Nordine Taleb,Li Jingliang,0,0,66,43,2,2,0,0,Welterweight,S-DEC,,3,5:00,0313bf497de9c470,300
2014-10-04,"Halifax, Nova Scotia, Canada",win,Mitch Gagnon,Roman Salazar,0,0,5,3,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,2:06,0313bf497de9c470,126
2014-10-04,"Halifax, Nova Scotia, Canada",win,Daron Cruickshank,Anthony Njokuani,0,0,42,40,6,0,0,0,Lightweight,U-DEC,,3,5:00,0313bf497de9c470,300
2014-10-04,"Halifax, Nova Scotia, Canada",win,Olivier Aubin-Mercier,Jake Lindsey,0,0,31,24,2,1,1,0,Lightweight,SUB,Inverted Triangle,2,3:22,0313bf497de9c470,202
2014-10-04,"Halifax, Nova Scotia, Canada",win,Paul Felder,Jason Saggo,0,1,51,29,1,6,0,0,Lightweight,S-DEC,,3,5:00,0313bf497de9c470,300
2014-10-04,"Halifax, Nova Scotia, Canada",win,Chris Kelades,Paddy Holohan,0,0,50,26,2,3,1,0,Flyweight,U-DEC,,3,5:00,0313bf497de9c470,300
2014-10-04,"Halifax, Nova Scotia, Canada",win,Albert Tumenov,Matt Dwyer,2,0,4,0,0,0,0,0,Welterweight,KO/TKO,Kick,1,1:03,0313bf497de9c470,63
2014-10-04,"Halifax, Nova Scotia, Canada",ncnc,Pedro Munhoz,Jerrod Sanders,0,0,2,1,0,0,1,0,Bantamweight,Overturned,Guillotine Choke,1,0:39,0313bf497de9c470,39
2006-04-15,"Anaheim, California, USA",win,Tim Sylvia,Andrei Arlovski,1,1,13,11,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:43,03688dc3c3af3ac1,163
2006-04-15,"Anaheim, California, USA",win,Sean Sherk,Nick Diaz,0,0,39,57,2,1,0,3,Welterweight,U-DEC,,3,5:00,03688dc3c3af3ac1,300
2006-04-15,"Anaheim, California, USA",win,Tito Ortiz,Forrest Griffin,0,0,61,58,3,0,0,0,Light Heavyweight,S-DEC,,3,5:00,03688dc3c3af3ac1,300
2006-04-15,"Anaheim, California, USA",win,Evan Tanner,Justin Levens,0,0,10,2,1,0,2,1,Middleweight,SUB,Triangle Choke,1,3:14,03688dc3c3af3ac1,194
2006-04-15,"Anaheim, California, USA",win,Jeff Monson,Marcio Cruz,0,0,32,40,2,0,0,0,Heavyweight,S-DEC,,3,5:00,03688dc3c3af3ac1,300
2006-04-15,"Anaheim, California, USA",win,Karo Parisyan,Nick Thompson,0,0,18,2,2,1,0,0,Welterweight,KO/TKO,Punches,1,4:44,03688dc3c3af3ac1,284
2006-04-15,"Anaheim, California, USA",win,David Terrell,Scott Smith,0,0,10,3,1,0,2,0,Middleweight,SUB,Rear Naked Choke,1,3:08,03688dc3c3af3ac1,188
2006-04-15,"Anaheim, California, USA",win,Jason Lambert,Terry Martin,0,0,31,15,0,1,0,0,Light Heavyweight,KO/TKO,Punches,2,2:37,03688dc3c3af3ac1,157
2006-04-15,"Anaheim, California, USA",win,Thiago Alves,Derrick Noble,1,0,11,18,0,0,0,0,Welterweight,KO/TKO,Punches,1,2:54,03688dc3c3af3ac1,174
2018-08-04,"Los Angeles, California, USA",win,TJ Dillashaw,Cody Garbrandt,2,0,45,17,0,0,0,0,Bantamweight,KO/TKO,Punches,1,4:10,03b1e846b09f721d,250
2018-08-04,"Los Angeles, California, USA",win,Henry Cejudo,Demetrious Johnson,0,0,51,81,3,1,0,0,Flyweight,S-DEC,,5,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Renato Moicano,Cub Swanson,1,0,17,20,1,0,1,0,Featherweight,SUB,Rear Naked Choke,1,4:15,03b1e846b09f721d,255
2018-08-04,"Los Angeles, California, USA",win,JJ Aldrich,Polyana Viana,0,0,40,46,0,1,0,0,Women's Strawweight,U-DEC,,3,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Thiago Santos,Kevin Holland,0,0,69,31,3,0,1,1,Middleweight,U-DEC,,3,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Pedro Munhoz,Brett Johns,3,0,117,73,0,0,1,0,Bantamweight,U-DEC,,3,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Ricky Simon,Montel Jackson,0,0,25,42,7,2,0,0,Bantamweight,U-DEC,,3,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Ricardo Ramos,Kyung Ho Kang,0,0,54,65,1,1,1,0,Bantamweight,S-DEC,,3,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Sheymon Moraes,Matt Sayles,0,0,73,77,0,0,0,0,Featherweight,U-DEC,,3,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Alex Perez,Jose Torres,1,0,84,29,0,0,0,0,Flyweight,KO/TKO,Punches,1,3:46,03b1e846b09f721d,226
2018-08-04,"Los Angeles, California, USA",win,Zhang Weili,Danielle Taylor,0,0,77,34,1,0,0,1,Women's Strawweight,U-DEC,,3,5:00,03b1e846b09f721d,300
2018-08-04,"Los Angeles, California, USA",win,Marlon Vera,Wulijiburen,1,0,45,31,1,2,0,0,Bantamweight,KO/TKO,Punch,2,4:53,03b1e846b09f721d,293
2019-08-03,"Newark, New Jersey, USA",win,Colby Covington,Robbie Lawler,0,0,179,78,10,0,0,0,Welterweight,U-DEC,,5,5:00,03da33a102d9a45f,300
2019-08-03,"Newark, New Jersey, USA",win,Jim Miller,Clay Guida,0,0,2,2,0,0,1,0,Lightweight,SUB,Guillotine Choke,1,0:58,03da33a102d9a45f,58
2019-08-03,"Newark, New Jersey, USA",win,Nasrat Haqparast,Joaquim Silva,1,0,21,15,0,0,0,0,Lightweight,KO/TKO,Punch,2,0:36,03da33a102d9a45f,36
2019-08-03,"Newark, New Jersey, USA",win,Gerald Meerschaert,Trevin Giles,0,0,6,8,1,1,1,0,Middleweight,SUB,Guillotine Choke,3,1:49,03da33a102d9a45f,109
2019-08-03,"Newark, New Jersey, USA",win,Scott Holtzman,Dong Hyun Ma,1,0,44,16,1,1,0,0,Lightweight,KO/TKO,,2,5:00,03da33a102d9a45f,300
2019-08-03,"Newark, New Jersey, USA",win,Kennedy Nzechukwu,Darko Stosic,0,0,50,60,0,4,0,0,Light Heavyweight,U-DEC,,3,5:00,03da33a102d9a45f,300
2019-08-03,"Newark, New Jersey, USA",win,Mickey Gall,Salim Touahri,0,0,50,48,1,0,0,0,Welterweight,U-DEC,,3,5:00,03da33a102d9a45f,300
2019-08-03,"Newark, New Jersey, USA",win,Antonina Shevchenko,Lucie Pudilova,0,0,16,6,0,1,3,0,Women's Flyweight,SUB,Rear Naked Choke,2,1:20,03da33a102d9a45f,80
2019-08-03,"Newark, New Jersey, USA",win,Matt Schnell,Jordan Espinosa,0,0,3,5,0,0,1,0,Flyweight,SUB,Triangle Choke,1,1:23,03da33a102d9a45f,83
2019-08-03,"Newark, New Jersey, USA",win,Lauren Murphy,Mara Romero Borella,1,0,24,22,0,1,0,0,Women's Flyweight,KO/TKO,Knee,3,1:46,03da33a102d9a45f,106
2019-08-03,"Newark, New Jersey, USA",win,Claudio Silva,Cole Williams,0,0,32,2,1,0,1,0,Welterweight,SUB,Neck Crank,1,2:35,03da33a102d9a45f,155
2019-08-03,"Newark, New Jersey, USA",win,Miranda Granger,Hannah Goldy,0,0,61,55,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00,03da33a102d9a45f,300
2017-12-30,"Las Vegas, Nevada, USA",win,Cristiane Justino,Holly Holm,0,0,118,44,0,0,0,0,Women's Featherweight,U-DEC,,5,5:00,04076783ca83d6ae,300
2017-12-30,"Las Vegas, Nevada, USA",win,Khabib Nurmagomedov,Edson Barboza,0,0,89,25,4,0,0,0,Lightweight,U-DEC,,3,5:00,04076783ca83d6ae,300
2017-12-30,"Las Vegas, Nevada, USA",win,Dan Hooker,Marc Diakiese,0,0,17,24,2,0,1,0,Lightweight,SUB,Guillotine Choke,3,0:42,04076783ca83d6ae,42
2017-12-30,"Las Vegas, Nevada, USA",win,Carla Esparza,Cynthia Calvillo,0,0,48,38,2,1,1,0,Women's Strawweight,U-DEC,,3,5:00,04076783ca83d6ae,300
2017-12-30,"Las Vegas, Nevada, USA",win,Neil Magny,Carlos Condit,0,0,32,37,6,0,0,0,Welterweight,U-DEC,,3,5:00,04076783ca83d6ae,300
2017-12-30,"Las Vegas, Nevada, USA",ncnc,Khalil Rountree Jr.,Michal Oleksiejczuk,0,0,52,76,0,2,1,0,Light Heavyweight,Overturned,,3,5:00,04076783ca83d6ae,300
2017-12-30,"Las Vegas, Nevada, USA",win,Myles Jury,Ricky Glenn,0,0,41,14,2,0,0,0,Featherweight,U-DEC,,3,5:00,04076783ca83d6ae,300
2017-12-30,"Las Vegas, Nevada, USA",drawdraw,Marvin Vettori,Omari Akhmedov,0,0,66,51,0,0,2,0,Middleweight,M-DEC,,3,5:00,04076783ca83d6ae,300
